,address,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
7,Market Street Food Centre,KAKI BUKIT 511 MARKET AND FOOD CENTRE,511,BEDOK NORTH STREET 3,KAKI BUKIT 511 MARKET AND FOOD CENTRE,511 BEDOK NORTH STREET 3 KAKI BUKIT 511 MARKET AND FOOD CENTRE SINGAPORE 460511,460511,38824.3551326348,35046.416730687,1.33321993297265,103.930581522776
0,Sembawang Hill Food Centre,SEMBAWANG HILLS FOOD CENTRE,590,UPPER THOMSON ROAD,SEMBAWANG HILLS FOOD CENTRE,590 UPPER THOMSON ROAD SEMBAWANG HILLS FOOD CENTRE SINGAPORE 574419,574419,27521.4142992953,39369.6331922505,1.37231949296183,103.829018145089
0,Blk 11 Telok Blangah Crescent,MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT),11,TELOK BLANGAH CRESCENT,MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT),11 TELOK BLANGAH CRESCENT MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT) SINGAPORE 090011,090011,26367.6739153955,28870.403094504,1.27736813225761,103.818651524334
0,Blk 353 Clementi Ave 2,MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2),353,CLEMENTI AVENUE 2,MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2),353 CLEMENTI AVENUE 2 MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2) SINGAPORE 120353,120353,21055.5871404577,32962.9760067426,1.31437917978956,103.770919561136
0,Blk 75 Toa Payoh Lorong 5,HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5),75,LORONG 5 TOA PAYOH,HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5),75 LORONG 5 TOA PAYOH HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5) SINGAPORE 310075,310075,30185.5474107722,35355.9137047604,1.336020767662,103.852956988062
0,Blks 13/14 Haig Road,MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD),13,HAIG ROAD,MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD),13 HAIG ROAD MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD) SINGAPORE 430013,430013,34932.3854920464,33047.3299110997,1.31514204972284,103.895609544204
0,North Bridge Road Market & Food Centre,NORTH BRIDGE ROAD MARKET,861,NORTH BRIDGE ROAD,NORTH BRIDGE ROAD MARKET,861 NORTH BRIDGE ROAD NORTH BRIDGE ROAD MARKET SINGAPORE 198783,198783,31404.4695041236,31995.9501274824,1.30563433652207,103.863909336656
1,North Bridge Road Market & Food Centre,NORTH BRIDGE ROAD MARKET AND FOOD CENTRE,861,NORTH BRIDGE ROAD,NORTH BRIDGE ROAD MARKET AND FOOD CENTRE,861 NORTH BRIDGE ROAD NORTH BRIDGE ROAD MARKET AND FOOD CENTRE SINGAPORE 198783,198783,31425.6079072515,32051.9533432834,1.30614080746519,103.864099281276
0,Chong Pang Market & Food Centre,CHONG PANG MARKET & FOOD CENTRE,104,YISHUN RING ROAD,CHONG PANG MARKET & FOOD CENTRE,104 YISHUN RING ROAD CHONG PANG MARKET & FOOD CENTRE SINGAPORE 760104,760104,27467.956893337,45907.7369969934,1.43144775158984,103.828537671885
1,Chong Pang Market & Food Centre,CHONG PANG MARKET & FOOD CENTRE,105,YISHUN RING ROAD,CHONG PANG MARKET & FOOD CENTRE,105 YISHUN RING ROAD CHONG PANG MARKET & FOOD CENTRE SINGAPORE 760105,760105,27420.8372399528,45937.6603494491,1.43171836662838,103.828114256975
0,Alexandra Village Food Centre,ALEXANDRA VILLAGE FOOD CENTRE,120,BUKIT MERAH LANE 1,ALEXANDRA VILLAGE FOOD CENTRE,120 BUKIT MERAH LANE 1 ALEXANDRA VILLAGE FOOD CENTRE SINGAPORE 150120,150120,24791.9139356269,29858.7134501822,1.28630594274136,103.804492637648
